Classificador,Media,RMS,Maximo,Minimo,DesvioPadrao,Variancia
1,2.65771E-05,0.001845035,0.011962891,-0.010864258,0.00184488,3.40358E-06
1,2.49365E-05,0.001853309,0.016021729,-0.012115479,0.001853179,3.43427E-06
1,2.62988E-05,0.001868235,0.016265869,-0.011505127,0.001868087,3.48975E-06
1,2.59778E-05,0.0018774,0.01385498,-0.011566162,0.001877258,3.5241E-06
1,2.61584E-05,0.001916314,0.013183594,-0.012878418,0.001916174,3.67172E-06
1,2.55457E-05,0.001914621,0.012969971,-0.011260986,0.001914489,3.66527E-06
1,2.58508E-05,0.001917715,0.014099121,-0.011749268,0.001917579,3.67711E-06
1,2.57288E-05,0.001949568,0.01184082,-0.011138916,0.001949437,3.80031E-06
1,2.5719E-05,0.001898382,0.014648438,-0.010528564,0.001898246,3.60334E-06
1,2.4812E-05,0.001950004,0.015319824,-0.013336182,0.001949885,3.80205E-06
1,2.64465E-05,0.001963954,0.012451172,-0.010192871,0.001963815,3.85657E-06
1,2.58594E-05,0.001873104,0.013702393,-0.010650635,0.001872963,3.50799E-06
1,2.49658E-05,0.001926867,0.015045166,-0.011474609,0.001926743,3.71234E-06
1,2.56616E-05,0.001946124,0.013000488,-0.014770508,0.001945994,3.78689E-06
1,2.42126E-05,0.001943276,0.014434814,-0.01071167,0.001943164,3.77588E-06
1,2.58386E-05,0.001941625,0.013549805,-0.011260986,0.001941491,3.76939E-06
1,2.60828E-05,0.001893225,0.01663208,-0.011627197,0.001893083,3.58376E-06
1,2.56934E-05,0.001916946,0.014556885,-0.012634277,0.001916812,3.67417E-06
1,2.64246E-05,0.001957653,0.014404297,-0.010986328,0.001957514,3.83186E-06
1,2.51978E-05,0.001917072,0.014923096,-0.012512207,0.001916945,3.67468E-06
1,2.67114E-05,0.001863339,0.015289307,-0.009552002,0.001863185,3.47146E-06
1,2.54504E-05,0.001970471,0.016174316,-0.010742188,0.001970346,3.88226E-06
1,2.60107E-05,0.001950954,0.014160156,-0.011260986,0.00195082,3.8057E-06
1,2.56042E-05,0.001924952,0.018005371,-0.012878418,0.00192482,3.70493E-06
1,2.6073E-05,0.001914318,0.01449585,-0.010437012,0.001914179,3.66408E-06
1,2.51636E-05,0.001917715,0.014190674,-0.009613037,0.001917588,3.67714E-06
1,2.56665E-05,0.001889846,0.013122559,-0.013671875,0.001889709,3.571E-06
1,2.48401E-05,0.001908233,0.013397217,-0.010803223,0.00190811,3.64088E-06
1,2.62756E-05,0.001915966,0.012664795,-0.010070801,0.001915824,3.67038E-06
1,2.45972E-05,0.001942333,0.014465332,-0.011749268,0.001942216,3.7722E-06
1,2.55823E-05,0.001996694,0.015930176,-0.012176514,0.00199657,3.98629E-06
1,2.5249E-05,0.001904248,0.012817383,-0.010742188,0.001904119,3.62567E-06
1,2.64783E-05,0.001939914,0.013183594,-0.01184082,0.001939772,3.76272E-06
1,2.5166E-05,0.001939287,0.016326904,-0.011260986,0.001939162,3.76035E-06
1,2.45837E-05,0.001917372,0.012969971,-0.012451172,0.001917253,3.67586E-06
1,2.53381E-05,0.001926873,0.015014648,-0.010955811,0.001926745,3.71235E-06
1,2.50977E-05,0.001948364,0.013946533,-0.012237549,0.001948242,3.79565E-06
1,0.000025,0.001958703,0.012542725,-0.010253906,0.001958583,3.83605E-06
1,2.49377E-05,0.001940603,0.015686035,-0.010253906,0.001940482,3.76547E-06
1,2.66895E-05,0.001910852,0.013793945,-0.011322021,0.001910704,3.65079E-06
1,2.56482E-05,0.001914268,0.014770508,-0.0105896,0.001914134,3.66391E-06
1,2.56311E-05,0.001920375,0.012329102,-0.011077881,0.001920242,3.68733E-06
1,2.56506E-05,0.001937839,0.013916016,-0.010986328,0.001937708,3.75471E-06
1,2.47278E-05,0.001955163,0.015136719,-0.011993408,0.001955046,3.8222E-06
1,2.51392E-05,0.001878259,0.014099121,-0.01171875,0.001878128,3.52737E-06
1,2.57898E-05,0.001886533,0.015045166,-0.010040283,0.001886395,3.55849E-06
1,2.6366E-05,0.001916203,0.012451172,-0.010894775,0.00191606,3.67129E-06
1,2.49634E-05,0.001912622,0.013214111,-0.011871338,0.001912497,3.65765E-06
1,2.54321E-05,0.001874529,0.012939453,-0.011291504,0.001874394,3.51335E-06
1,2.50513E-05,0.001939883,0.018463135,-0.010620117,0.00193976,3.76267E-06
1,2.68274E-05,0.001949563,0.015197754,-0.012237549,0.001949418,3.80023E-06
1,2.52942E-05,0.001860867,0.011932373,-0.010620117,0.001860732,3.46232E-06
1,2.56274E-05,0.001908576,0.015197754,-0.013183594,0.001908442,3.64215E-06
1,2.6792E-05,0.001950474,0.014190674,-0.012115479,0.001950329,3.80378E-06
1,2.5575E-05,0.001905979,0.014678955,-0.009033203,0.001905845,3.63225E-06
1,2.5094E-05,0.00190974,0.015106201,-0.009338379,0.001909614,3.64662E-06
1,2.54626E-05,0.001962156,0.016906738,-0.011474609,0.00196203,3.84956E-06
1,2.48389E-05,0.001963072,0.013549805,-0.011230469,0.001962954,3.85319E-06
1,2.60132E-05,0.001911042,0.013702393,-0.010772705,0.001910903,3.65155E-06
1,2.51587E-05,0.001948328,0.014221191,-0.010467529,0.001948204,3.7955E-06
1,2.47815E-05,0.002002919,0.014129639,-0.010986328,0.002002806,4.01123E-06
1,2.58472E-05,0.001994908,0.013793945,-0.010925293,0.00199478,3.97915E-06
1,2.40076E-05,0.001968919,0.014953613,-0.012969971,0.001968812,3.87622E-06
1,2.58289E-05,0.001975093,0.013305664,-0.010772705,0.001974964,3.90048E-06
1,2.55774E-05,0.00192463,0.013549805,-0.010406494,0.001924498,3.70369E-06
1,2.61414E-05,0.001929033,0.012237549,-0.011627197,0.001928894,3.72063E-06
1,2.49475E-05,0.001933439,0.014129639,-0.01171875,0.001933317,3.73771E-06
1,2.58521E-05,0.001932264,0.014373779,-0.01171875,0.00193213,3.73312E-06
1,2.60864E-05,0.001940927,0.015625,-0.012908936,0.00194079,3.76667E-06
1,2.448E-05,0.001996122,0.015228271,-0.013458252,0.001996012,3.98406E-06
1,2.56726E-05,0.001957831,0.014556885,-0.01071167,0.001957702,3.8326E-06
1,2.54822E-05,0.001956273,0.013824463,-0.010894775,0.001956147,3.82651E-06
1,0.000025,0.001995481,0.012969971,-0.012420654,0.001995364,3.98148E-06
1,2.58508E-05,0.001932886,0.01361084,-0.010559082,0.001932752,3.73553E-06
1,2.62573E-05,0.001968061,0.015441895,-0.010803223,0.001967925,3.87273E-06
1,2.38062E-05,0.001954555,0.014129639,-0.011199951,0.001954449,3.81987E-06
1,2.64038E-05,0.001931152,0.012359619,-0.013031006,0.001931011,3.7288E-06
1,2.58691E-05,0.001890265,0.015136719,-0.011535645,0.001890126,3.57257E-06
1,2.57459E-05,0.001917981,0.01651001,-0.01071167,0.001917847,3.67814E-06
1,2.50537E-05,0.001958041,0.013580322,-0.012115479,0.001957919,3.83345E-06
1,2.44897E-05,0.001980407,0.013061523,-0.013092041,0.001980295,3.92157E-06
1,2.51514E-05,0.001987275,0.012451172,-0.010894775,0.001987156,3.94879E-06
1,2.42883E-05,0.00193993,0.015533447,-0.009643555,0.001939817,3.76289E-06
1,2.72778E-05,0.001893743,0.015106201,-0.010803223,0.001893585,3.58566E-06
1,2.46851E-05,0.001936314,0.012664795,-0.010131836,0.001936195,3.74885E-06
1,2.56238E-05,0.001920988,0.013122559,-0.012359619,0.001920855,3.68968E-06
1,2.55762E-05,0.001907367,0.01361084,-0.010681152,0.001907233,3.63754E-06
1,2.45837E-05,0.001880399,0.013763428,-0.012939453,0.001880276,3.53544E-06
1,2.51831E-05,0.0019116,0.012573242,-0.012237549,0.001911473,3.65373E-06
1,2.66663E-05,0.001954547,0.014709473,-0.01159668,0.001954404,3.81969E-06
1,2.52222E-05,0.001914407,0.01461792,-0.011413574,0.001914279,3.66446E-06
1,1.88721E-05,0.00172341,0.012573242,-0.011505127,0.001723342,2.96991E-06
1,2.39136E-05,0.0018639,0.015228271,-0.010223389,0.001863784,3.47369E-06
1,2.52747E-05,0.001950341,0.01385498,-0.009368897,0.001950216,3.80334E-06
1,2.45776E-05,0.001914309,0.015686035,-0.011138916,0.001914189,3.66412E-06
1,2.61365E-05,0.001906802,0.013519287,-0.009552002,0.001906661,3.63536E-06
1,2.34106E-05,0.001906273,0.011749268,-0.010498047,0.001906168,3.63347E-06
1,2.60474E-05,0.001898994,0.015625,-0.010650635,0.001898853,3.60564E-06
1,2.4989E-05,0.00191466,0.015289307,-0.010467529,0.001914535,3.66544E-06
1,2.62329E-05,0.001898845,0.01473999,-0.011871338,0.001898702,3.60507E-06
1,2.49304E-05,0.00189127,0.01260376,-0.011108398,0.001891144,3.57642E-06
1,2.49768E-05,0.001862537,0.01373291,-0.011199951,0.001862407,3.46856E-06
1,2.61182E-05,0.001878936,0.012939453,-0.011260986,0.001878792,3.52986E-06
1,2.53711E-05,0.001911389,0.01385498,-0.010528564,0.001911259,3.65291E-06
1,2.56445E-05,0.001874047,0.014526367,-0.00982666,0.001873909,3.51154E-06
1,2.5553E-05,0.001877682,0.01272583,-0.010772705,0.001877546,3.52518E-06
1,2.47815E-05,0.001841569,0.013061523,-0.012329102,0.001841439,3.3909E-06
1,2.53723E-05,0.001886948,0.015258789,-0.012329102,0.001886815,3.56007E-06
1,2.5592E-05,0.001853271,0.015960693,-0.013580322,0.001853131,3.43409E-06
1,2.61414E-05,0.00186177,0.014282227,-0.011535645,0.001861623,3.46564E-06
1,2.57336E-05,0.001913409,0.014648438,-0.010681152,0.001913274,3.66062E-06
1,2.46973E-05,0.001841178,0.014923096,-0.009735107,0.001841049,3.38946E-06
1,2.67847E-05,0.00190625,0.014770508,-0.012115479,0.0019061,3.63322E-06
1,2.52283E-05,0.001955074,0.014099121,-0.010467529,0.00195495,3.82183E-06
1,2.4939E-05,0.001849966,0.014556885,-0.011260986,0.001849835,3.42189E-06
1,2.61401E-05,0.001852387,0.013793945,-0.01071167,0.001852239,3.43079E-06
1,2.495E-05,0.001866218,0.01373291,-0.012634277,0.001866089,3.48229E-06
1,2.50183E-05,0.001874936,0.014465332,-0.0105896,0.001874806,3.5149E-06
1,2.60522E-05,0.001890484,0.014007568,-0.013000488,0.001890342,3.57339E-06
1,2.61072E-05,0.001904862,0.013916016,-0.012084961,0.001904721,3.62796E-06
1,2.47437E-05,0.001906869,0.012298584,-0.011505127,0.001906746,3.63568E-06
1,2.52466E-05,0.001853441,0.012298584,-0.009979248,0.001853306,3.43474E-06
1,2.59216E-05,0.001868974,0.014984131,-0.010314941,0.001868832,3.49253E-06
1,2.49255E-05,0.001891002,0.014465332,-0.010681152,0.001890876,3.57541E-06
