 Item ; Média ; RMS ; Maximo ; Mínimo ; Desvio Padrão ; Variância ;;;;;;;;
 Isolador Bom ; 0,0000265771 ; 0,0018450347 ; 0,0119628910 ;-0,0108642580 ; 0,0018448801 ; 0,0000034036 ;;;;;;;;
 Isolador Bom ; 0,0000249365 ; 0,0018533092 ; 0,0160217290 ;-0,0121154790 ; 0,0018531785 ; 0,0000034343 ;;;;;;;;
 Isolador Bom ; 0,0000262988 ; 0,0018682346 ; 0,0162658690 ;-0,0115051270 ; 0,0018680869 ; 0,0000034897 ;;;;;;;;
 Isolador Bom ; 0,0000259778 ; 0,0018773998 ; 0,0138549800 ;-0,0115661620 ; 0,0018772576 ; 0,0000035241 ;; Item ; Média ; RMS ; Maximo ; Mínimo ; Desvio Padrão ; Variância 
 Isolador Bom ; 0,0000261584 ; 0,0019163138 ; 0,0131835940 ;-0,0128784180 ; 0,0019161736 ; 0,0000036717 ;; Média BOM (1000 amostras) ; 0,0000255921 ; 0,0018498461 ; 0,0137297363 ;-0,0109364624 ; 0,0018497057 ; 0,0034249371 
 Isolador Bom ; 0,0000255457 ; 0,0019146213 ; 0,0129699710 ;-0,0112609860 ; 0,0019144891 ; 0,0000036653 ;; Média Pergurado (1000 amostras) ; 0,0000244348 ; 0,0069992990 ; 0,0293063965 ;-0,0286209412 ; 0,0069993634 ; 0,0828178519 
 Isolador Bom ; 0,0000258508 ; 0,0019177152 ; 0,0140991210 ;-0,0117492680 ; 0,0019175793 ; 0,0000036771 ;; Perfurado/Bom ;95,478%;378,372%;213,452%;261,702%;378,404%;2418,084%
 Isolador Bom ; 0,0000257288 ; 0,0019495680 ; 0,0118408200 ;-0,0111389160 ; 0,0019494372 ; 0,0000038003 ;;;;;;;;
 Isolador Bom ; 0,0000257190 ; 0,0018983824 ; 0,0146484380 ;-0,0105285640 ; 0,0018982461 ; 0,0000036033 ;;;;;;;;
 Isolador Bom ; 0,0000248120 ; 0,0019500039 ; 0,0153198240 ;-0,0133361820 ; 0,0019498851 ; 0,0000038021 ;;;;;;;;
 Isolador Bom ; 0,0000264465 ; 0,0019639539 ; 0,0124511720 ;-0,0101928710 ; 0,0019638151 ; 0,0000038566 ;;;;;;;;
 Isolador Bom ; 0,0000258594 ; 0,0018731040 ; 0,0137023930 ;-0,0106506350 ; 0,0018729629 ; 0,0000035080 ;;;;;;;;
 Isolador Bom ; 0,0000249658 ; 0,0019268665 ; 0,0150451660 ;-0,0114746090 ; 0,0019267433 ; 0,0000037123 ;;;;;;;;
 Isolador Bom ; 0,0000256616 ; 0,0019461238 ; 0,0130004880 ;-0,0147705080 ; 0,0019459935 ; 0,0000037869 ;;;;;;;;
 Isolador Bom ; 0,0000242126 ; 0,0019432756 ; 0,0144348140 ;-0,0107116700 ; 0,0019431636 ; 0,0000037759 ;;;;;;;;
 Isolador Bom ; 0,0000258386 ; 0,0019416246 ; 0,0135498050 ;-0,0112609860 ; 0,0019414914 ; 0,0000037694 ;;;;;;;;
 Isolador Bom ; 0,0000260828 ; 0,0018932250 ; 0,0166320800 ;-0,0116271970 ; 0,0018930832 ; 0,0000035838 ;;;;;;;;
 Isolador Bom ; 0,0000256934 ; 0,0019169459 ; 0,0145568850 ;-0,0126342770 ; 0,0019168120 ; 0,0000036742 ;;;;;;;;
 Isolador Bom ; 0,0000264246 ; 0,0019576529 ; 0,0144042970 ;-0,0109863280 ; 0,0019575137 ; 0,0000038319 ;;;;;;;;
 Isolador Bom ; 0,0000251978 ; 0,0019170717 ; 0,0149230960 ;-0,0125122070 ; 0,0019169445 ; 0,0000036747 ;;;;;;;;
 Isolador Bom ; 0,0000267114 ; 0,0018633387 ; 0,0152893070 ;-0,0095520020 ; 0,0018631845 ; 0,0000034715 ;;;;;;;;
 Isolador Bom ; 0,0000254504 ; 0,0019704706 ; 0,0161743160 ;-0,0107421880 ; 0,0019703457 ; 0,0000038823 ;;;;;;;;
 Isolador Bom ; 0,0000260107 ; 0,0019509543 ; 0,0141601560 ;-0,0112609860 ; 0,0019508199 ; 0,0000038057 ;;;;;;;;
 Isolador Bom ; 0,0000256042 ; 0,0019249519 ; 0,0180053710 ;-0,0128784180 ; 0,0019248201 ; 0,0000037049 ;;;;;;;;
 Isolador Bom ; 0,0000260730 ; 0,0019143180 ; 0,0144958500 ;-0,0104370120 ; 0,0019141787 ; 0,0000036641 ;;;;;;;;
 Isolador Bom ; 0,0000251636 ; 0,0019177146 ; 0,0141906740 ;-0,0096130371 ; 0,0019175878 ; 0,0000036771 ;;;;;;;;
 Isolador Bom ; 0,0000256665 ; 0,0018898457 ; 0,0131225590 ;-0,0136718750 ; 0,0018897092 ; 0,0000035710 ;;;;;;;;
 Isolador Bom ; 0,0000248401 ; 0,0019082331 ; 0,0133972170 ;-0,0108032230 ; 0,0019081096 ; 0,0000036409 ;;;;;;;;
 Isolador Bom ; 0,0000262756 ; 0,0019159661 ; 0,0126647950 ;-0,0100708010 ; 0,0019158242 ; 0,0000036704 ;;;;;;;;
 Isolador Bom ; 0,0000245972 ; 0,0019423325 ; 0,0144653320 ;-0,0117492680 ; 0,0019422155 ; 0,0000037722 ;;;;;;;;
 Isolador Bom ; 0,0000255823 ; 0,0019966943 ; 0,0159301760 ;-0,0121765140 ; 0,0019965703 ; 0,0000039863 ;;;;;;;;
 Isolador Bom ; 0,0000252490 ; 0,0019042483 ; 0,0128173830 ;-0,0107421880 ; 0,0019041190 ; 0,0000036257 ;;;;;;;;
 Isolador Bom ; 0,0000264783 ; 0,0019399143 ; 0,0131835940 ;-0,0118408200 ; 0,0019397724 ; 0,0000037627 ;;;;;;;;
 Isolador Bom ; 0,0000251660 ; 0,0019392865 ; 0,0163269040 ;-0,0112609860 ; 0,0019391620 ; 0,0000037603 ;;;;;;;;
 Isolador Bom ; 0,0000245837 ; 0,0019173723 ; 0,0129699710 ;-0,0124511720 ; 0,0019172530 ; 0,0000036759 ;;;;;;;;
 Isolador Bom ; 0,0000253381 ; 0,0019268729 ; 0,0150146480 ;-0,0109558110 ; 0,0019267448 ; 0,0000037123 ;;;;;;;;
