Classificador,Média,RMS,Maximo,Mínimo,Desvio Padrão,Variância
1,2.66E-05,0.001845035,0.011962891,-0.010864258,0.00184488,3.40E-06
5,2.16E-05,0.004055668,0.018920898,-0.015594482,0.004055692,1.64E-05
1,2.49E-05,0.001853309,0.016021729,-0.012115479,0.001853179,3.43E-06
5,2.64E-05,0.003805832,0.019683838,-0.017486572,0.003805817,1.45E-05
1,2.63E-05,0.001868235,0.016265869,-0.011505127,0.001868087,3.49E-06
5,2.18E-05,0.003800116,0.015441895,-0.021697998,0.003800129,1.44E-05
1,2.60E-05,0.0018774,0.01385498,-0.011566162,0.001877258,3.52E-06
5,2.72E-05,0.003880838,0.020904541,-0.015991211,0.003880821,1.51E-05
1,2.62E-05,0.001916314,0.013183594,-0.012878418,0.001916174,3.67E-06
5,2.30E-05,0.00402001,0.019744873,-0.015869141,0.004020025,1.62E-05
1,2.55E-05,0.001914621,0.012969971,-0.011260986,0.001914489,3.67E-06
5,2.29E-05,0.004108461,0.018829346,-0.014831543,0.004108479,1.69E-05
1,2.59E-05,0.001917715,0.014099121,-0.011749268,0.001917579,3.68E-06
5,2.54E-05,0.003783044,0.017974854,-0.017822266,0.003783034,1.43E-05
1,2.57E-05,0.001949568,0.01184082,-0.011138916,0.001949437,3.80E-06
5,2.37E-05,0.003806178,0.021484375,-0.01675415,0.003806181,1.45E-05
1,2.57E-05,0.001898382,0.014648438,-0.010528564,0.001898246,3.60E-06
5,2.40E-05,0.003778661,0.017669678,-0.017730713,0.003778661,1.43E-05
1,2.48E-05,0.001950004,0.015319824,-0.013336182,0.001949885,3.80E-06
5,2.34E-05,0.003873481,0.02331543,-0.016967773,0.003873488,1.50E-05
1,2.64E-05,0.001963954,0.012451172,-0.010192871,0.001963815,3.86E-06
5,2.48E-05,0.003725523,0.016052246,-0.016448975,0.003725515,1.39E-05
1,2.59E-05,0.001873104,0.013702393,-0.010650635,0.001872963,3.51E-06
5,2.41E-05,0.003673217,0.018035889,-0.01751709,0.003673212,1.35E-05
1,2.50E-05,0.001926867,0.015045166,-0.011474609,0.001926743,3.71E-06
